t_s,x,y,heading,bump,bump_strength,energy,hunger,arousal,spikes,active,drive_l,drive_r,kc,kc_active,mbon,cx,modulation,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,da_max,elig_mean,depressed,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,on_food,on_hazard
5.24,0.8112984895706177,19.127765655517578,2.81659197807312,2.853517159932235,0.611041539447106,0.9127000000000118,0.08729999999998816,0.0,665,619,1.2446560060074878,0.7553439939925123,46.0,46,7.0,36.0,0.03854640573263168,21.98606291145841,28.102463061645604,0.0,0.0,0.0,0.30582000750935967,1.0,0.3377268314361572,0.05231822282075882,0.04568803310394287,0.032769115660339236,0.03211032060161198,0.027545015327632427,0.026659409826000534,0.0,0.0,0.020622210502624513,False,False
5.245,0.732430636882782,19.112600326538086,2.817671537399292,-2.936510346698833,0.6955879680326552,0.9126000000000118,0.08739999999998815,0.0,672,629,1.2242680055068638,0.7757319944931362,56.0,56,2.0,38.0,0.03846098855137825,20.15389100217021,25.760591139841804,0.0,0.0,0.0,0.28033500688357976,1.0,0.33745285868644714,0.052474021911621094,0.0456923246383667,0.03273693926663413,0.03207437064653849,0.027689014871915184,0.026803892105817795,0.0,0.0,0.020673949718475342,False,False
5.25,0.7093549370765686,19.237781524658203,2.752849578857422,-3.0608552592844376,0.8239890664306457,0.9125000000000119,0.08749999999998814,0.0,570,539,1.2055790050479585,0.7944209949520415,34.0,34,2.0,29.0,0.03836997225880623,18.474400085322692,23.613875211521652,0.0,0.0,0.0,0.256973756309948,1.0,0.33698904514312744,0.0524551086127758,0.0456966757774353,0.032267394628996304,0.031673657049114165,0.0274577954163154,0.02653729015340408,0.0,0.0,0.019198439121246337,False,False
5.255,0.7166130542755127,19.326688766479492,2.696770668029785,-2.9770287861395417,0.6611920389863402,0.9124000000000119,0.08759999999998813,0.0,511,472,1.1884474212939617,0.8115525787060381,15.0,15,2.0,32.0,0.03827730193734169,16.934866744879134,21.64605227722818,0.0,0.0,0.0,0.23555927661745227,1.0,0.3374190032482147,0.052285294979810715,0.045700907707214355,0.03194648626958917,0.03141123807290535,0.027240985073149204,0.026294104754924774,0.0,0.0,0.022998945713043215,False,False
5.26,0.6788929104804993,19.3297061920166,2.663581132888794,2.456283777393626,0.6507866601531351,0.9123000000000119,0.08769999999998812,0.0,566,539,1.1727434695194652,0.8272565304805349,18.0,18,0.0,29.0,0.03824412450194359,15.523627849472538,19.842214587459164,0.0,0.0,0.0,0.2159293368993313,1.0,0.3375827372074127,0.05214961990714073,0.04570496082305908,0.03182269577744072,0.03132098127528991,0.027284561656415462,0.02631661326934894,0.0,0.0,0.02197617530822754,False,False
5.265,0.5345099568367004,19.401859283447266,2.6141397953033447,-2.6722954213853836,0.3109712062469939,0.9122000000000119,0.08779999999998811,0.0,642,605,1.158348180392843,0.841651819607157,30.0,30,5.0,18.0,0.03817375749349594,14.229992195349826,18.1886967051709,0.0,0.0,0.0,0.19793522549105375,1.0,0.3375418186187744,0.05210208147764206,0.045709192752838135,0.03136491797305609,0.030923361592925747,0.027331234887242317,0.026339280884712934,0.0,0.0,0.02582049608230591,False,False
5.2700000000000005,0.44652241468429565,19.490158081054688,2.5677638053894043,-2.8464469050903953,0.510715268152071,0.9121000000000119,0.0878999999999881,0.0,624,595,1.1451524986934394,0.8548475013065606,30.0,30,2.0,22.0,0.038101304322481155,13.044159512404008,16.67297197973999,0.0,0.0,0.0,0.18144062336679917,1.0,0.33730292320251465,0.05202879756689072,0.04571324586868286,0.030998826459049843,0.030604412587359214,0.027211951091885567,0.026213032348702352,0.0,0.0,0.030134296417236327,False,False
5.275,0.40011918544769287,19.587806701660156,2.569350242614746,2.5849320973988674,0.8240630017437504,0.9120000000000119,0.08799999999998809,0.0,696,645,0.7997231238023195,1.2002768761976805,28.0,28,4.0,19.0,0.03801310062408447,20.290479553037006,15.283557648094991,0.0,0.0,0.0,-0.2503460952471007,1.0,0.3368726074695587,0.05194244533777237,0.04571735858917236,0.03072867997270044,0.030334179183778336,0.027172196035583816,0.02616893034428358,0.0,0.0,0.023469440937042237,False,False
5.28,0.3486950099468231,19.742481231689453,2.5579850673675537,2.865437874351427,0.5808773897139268,0.9119000000000119,0.08809999999998808,0.0,684,648,0.8164128634854595,1.1835871365145405,45.0,45,6.0,26.0,0.03810015693306923,18.599606256950587,14.009927844087075,0.0,0.0,0.0,-0.22948392064317558,1.0,0.33625727891921997,0.05199596285820007,0.04572129249572754,0.03035511364539431,0.02996946305036512,0.02706553942213456,0.02605430859451493,0.0,0.0,0.012923235893249512,False,False
5.285,0.27196937799453735,19.863744735717773,2.5504608154296875,2.9467877077079625,0.839747633872061,0.9118000000000119,0.08819999999998807,0.0,577,542,0.19999999999999996,1.5,22.0,22,5.0,21.0,0.038123659789562225,33.716305735538036,12.842433857079818,0.0,0.0,0.0,-1.0,1.0,0.33654046058654785,0.05188734456896782,0.045725345611572266,0.030059994198381575,0.029688812890089723,0.027026111880938213,0.026009446009993553,0.0,0.0,0.010676811933517456,False,False
